threshold,accuracy,precision,recall,f1_score,roc_auc,confusion_matrix
0.69,0.7885024840312278,0.7794117647058824,0.28342245989304815,0.41568627450980394,0.8421852799090651,"[[1005, 30], [268, 106]]"
0.7,0.78708303761533,0.7983870967741935,0.2647058823529412,0.39759036144578314,0.8421852799090651,"[[1010, 25], [275, 99]]"
0.71,0.7835344215755855,0.8053097345132744,0.24331550802139038,0.3737166324435318,0.8421852799090651,"[[1013, 22], [283, 91]]"
0.72,0.7835344215755855,0.8108108108108109,0.24064171122994651,0.3711340206185567,0.8421852799090651,"[[1014, 21], [284, 90]]"
0.73,0.7806955287437899,0.8095238095238095,0.22727272727272727,0.35490605427974947,0.8421852799090651,"[[1015, 20], [289, 85]]"
0.74,0.7778566359119943,0.801980198019802,0.21657754010695188,0.3410526315789474,0.8421852799090651,"[[1015, 20], [293, 81]]"
0.75,0.7750177430801988,0.8,0.20320855614973263,0.32409381663113007,0.8421852799090651,"[[1016, 19], [298, 76]]"
0.76,0.7714691270404542,0.7954545454545454,0.18716577540106952,0.30303030303030304,0.8421852799090651,"[[1017, 18], [304, 70]]"
0.77,0.7700496806245565,0.7976190476190477,0.17914438502673796,0.2925764192139738,0.8421852799090651,"[[1018, 17], [307, 67]]"
0.78,0.7679205110007097,0.8051948051948052,0.1657754010695187,0.2749445676274945,0.8421852799090651,"[[1020, 15], [312, 62]]"
0.79,0.7650816181689141,0.7945205479452054,0.15508021390374332,0.2595078299776286,0.8421852799090651,"[[1020, 15], [316, 58]]"
0.8,0.7622427253371186,0.782608695652174,0.1443850267379679,0.24379232505643342,0.8421852799090651,"[[1020, 15], [320, 54]]"
0.81,0.7601135557132718,0.7903225806451613,0.13101604278074866,0.22477064220183487,0.8421852799090651,"[[1022, 13], [325, 49]]"
0.82,0.7579843860894251,0.7894736842105263,0.12032085561497326,0.2088167053364269,0.8421852799090651,"[[1023, 12], [329, 45]]"
0.83,0.7579843860894251,0.8113207547169812,0.11497326203208556,0.20140515222482436,0.8421852799090651,"[[1025, 10], [331, 43]]"
0.84,0.7565649396735273,0.8297872340425532,0.10427807486631016,0.18527315914489312,0.8421852799090651,"[[1027, 8], [335, 39]]"
0.85,0.7530163236337828,0.825,0.08823529411764706,0.15942028985507245,0.8421852799090651,"[[1028, 7], [341, 33]]"
0.86,0.7508871540099361,0.8285714285714286,0.07754010695187166,0.14180929095354522,0.8421852799090651,"[[1029, 6], [345, 29]]"
0.87,0.7494677075940384,0.8181818181818182,0.07219251336898395,0.13267813267813267,0.8421852799090651,"[[1029, 6], [347, 27]]"
0.88,0.7466288147622427,0.8148148148148148,0.058823529411764705,0.10972568578553615,0.8421852799090651,"[[1030, 5], [352, 22]]"
0.89,0.7430801987224982,0.8,0.0427807486631016,0.08121827411167512,0.8421852799090651,"[[1031, 4], [358, 16]]"
0.9,0.7416607523066004,0.8125,0.034759358288770054,0.06666666666666667,0.8421852799090651,"[[1032, 3], [361, 13]]"
